Station,Code,Date,Time,Campaign,Responsible,Institution,River,Basin,Latitude,Longitude,Latitude Decimal,Longitude Decimal,Average Velocity (m/s),Flow (m3/s),Resistivity (Ohm.cm),Partial Pressure (mm Hg),pH,pH (mV),Specific Conductivity (T ref. 25°C) (uS/cm),Salinity (Sal),Temperature (°C),Dissolved Oxygen (mg/l O2),Oxygen Saturation (%),Turbidity (NTU),Total Solids (mg/l),Total Dissolved Solids (mg/l),Total Suspended Solids (mg/l),Color (u PtCo),Total Hardness (mg/l CaCO3),Phenolphthalein Alkalinity (mg/l CaCO3),Total Alkalinity (mg/l CaCO3),Chlorides (mg/l Cl-),Sulfates (mg/l SO4),Dissolved Calcium (mg/l Ca),Dissolved Magnesium (mg/l Mg),Dissolved Sodium (mg/l Na),Dissolved Potassium (mg/l K),Total Calcium (mg/l Ca),Total Magnesium (mg/l Mg),Total Sodium (mg/l Na),Total Potassium (mg/l K),Total Phosphorus (mg/l PO4),Dissolved Phosphorus (mg/l PO4),Ammoniacal Nitrogen (mg/l NH4),Nitrite (mg/l NO2),Nitrate (mg/l NO3),Total Kjeldahl Nitrogen (mg/l N),Biochemical Oxygen Demand (mg/l O2),Chemical Oxygen Demand (mg/l O2),Dissolved Organic Carbon (mg/l),Total Coliforms (CFU) (CFU/100 ml),Fecal Coliforms (CFU) (CFU/100 ml),Total Coliforms (MPN) (MPN/100 ml),Fecal Coliforms (MPN) (MPN/100 ml),Total Mesophilic Aerobes (CFU) (CFU/100 ml),Dissolved Bismuth (ug/l Bi),Total Bismuth (ug/l Bi),Dissolved Thallium (ug/l Tl),Total Thallium (ug/l Tl),Dissolved Chromium (ug/l Cr),Dissolved Manganese (ug/l Mn),Dissolved Nickel (ug/l Ni),Dissolved Copper (ug/l Cu),Dissolved Zinc (ug/l Zn),Dissolved Arsenic (ug/l As),Dissolved Cadmium (ug/l Cd),Dissolved Lead (ug/l Pb),Dissolved Silver (ug/l Ag),Dissolved Mercury (ug/l Hg),Dissolved Iron (ug/l Fe),Dissolved Boron (ug/l B),Dissolved Selenium (ug/l Se),Total Chromium (ug/l Cr),Total Manganese (ug/l Mn),Total Nickel (ug/l Ni),Total Copper (ug/l Cu),Total Zinc (ug/l Zn),Total Arsenic (ug/l As),Total Cadmium (ug/l Cd),Total Lead (ug/l Pb),Total Silver (ug/l Ag),Total Mercury (ug/l Hg),Total Iron (ug/l Fe),Total Boron (ug/l B),Total Selenium (ug/l Se),Cyanides (mg/l CN-),Free Cyanides (mg/l CN-),Sulfides (mg/l S),Phenols (mg/l C6H6O),Total Hydrocarbons (mg/l),Suspended Thallium (mg/kg Tl),Suspended Selenium (mg/kg Se),Suspended Zinc (mg/kg Zn),Suspended Lead (mg/kg Pb),Suspended Arsenic (mg/kg As),Suspended Bismuth (mg/kg Bi),Suspended Boron (mg/kg B),Suspended Cadmium (mg/kg Cd),Suspended Copper (mg/kg Cu),Suspended Chromium (mg/kg Cr),Suspended Iron (mg/kg Fe),Suspended Manganese (mg/kg Mn),Suspended Nickel (mg/kg Ni),Suspended Silver (mg/kg Ag),Year,Total Mesophilic Aerobes (MPN) (MPN/100 ml),Suspended Mercury (mg/kg Hg),Fluorides (mg/l F),pH in laboratory,Settleable Solids (ml/l),Total Coliforms (CFU/100 ml),Fecal Coliforms (CFU/100 ml),Total Mesophilic Aerobes (CFU/100 ml),Total Organic Carbon (mg/l),Total Mesophilic Aerobes (MPN/100 ml),Total Coliforms (MPN/100 ml),Fecal Coliforms (MPN/100 ml),Location,Month,Month_Name,Season,DO_Status
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,BPT-118,2023-01-22,13:45,January 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,,"19° 7' 56.1""","65° 34' 19.94""",-19.1322,-65.5722,,,912.0,175.3,8.74,-105.56,1096.0,0.5,24.0,7.18,119.8,67.0,492.0,716.0,70.0,,232.0,15.0,155.0,161.74,149.1,48.47,26.6,137.86,9.57,49.97,66.7,349.95,31.28,,,,,1.7,,2.5,1.0,,,,,,,5.0,5.0,,,1.0,380.0,5.0,1.0,10.0,5.0,0.1,0.5,0.5,,1470.0,1800.0,5.0,1.0,470.0,5.0,1.0,10.0,12.0,0.1,0.5,0.5,,1480.0,2120.0,5.0,,,,,,,,,,171.43,,4571.43,,,,142.86,1285.71,,,2023,,,,,,,,,,,,,Potosi,1,January,Summer (Wet),Oxic
Viña Quemada,BVQ-122,2023-01-21,11:55,January 2023,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 2,19 24 26.7,64 51 49.5,-19.4074,-64.8637,0.366,6.0,1342.0,190.2,8.84,-114.0,745.5,0.6,23.8,7.81,118.7,50.7,1511.0,1128.0,383.0,,306.0,12.5,137.5,212.62,239.9,51.79,44.4,182.0,14.17,58.86,73.2,292.2,14.17,,,,,1.5,,19.0,63.0,,,,,,,5.0,5.0,,,1.0,60.0,5.0,1.0,10.0,5.0,0.1,0.5,0.5,,50.0,900.0,5.0,1.0,120.0,5.0,1.0,10.0,12.0,0.1,2.0,0.5,,1090.0,1120.0,5.0,,,,,,,,,,31.33,,574.41,,,,2845.95,156.66,,,2023,,,,,,,,,,,,,Potosi,1,January,Summer (Wet),Oxic
Tarapaya,BTA-050,2024-06-23,15:55,June 2024,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,"19° 28' 18.72""","65° 47' 39.43""",-19.4719,-65.7943,0.728,1.0,772.0,126.3,7.56,-35.4,729.0,0.3,12.15,6.25,87.1,125.0,546.0,456.0,86.0,,156.4,0.05,86.9,48.2,165.0,,,57.9,2.9,25.0,,68.82,8.63,,,,,4.87,,32.3,75.0,,,,,,,242.0,269.0,0.5,0.5,64.62,8.77,5.0,561.0,6.0,15.0,680.0,27.0,3.4,0.5,2.5,0.25,213.0,69.15,10.22,5.0,591.0,6.0,82.0,4108.0,148.0,15.0,12.0,2.5,0.25,7800.0,,,0.0025,,,,88220.93,0.0,1687.21,779.07,313.95,,39860.47,348.84,52.67,,16.86,,134.88,2024,,139.53,,,,,,,,,,,Potosi,6,June,Winter (Dry),Oxic
Colavi - Canutillos,BC7-113,2024-06-23,12:30,June 2024,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,"19° 19' 17.23""","65° 33' 7.31""",-19.3215,-65.552,0.411,0.0,3470.0,136.35,3.25,192.1,531.0,0.2,10.6,7.28,101.0,86.7,247.0,221.0,22.0,,167.5,0.05,0.05,0.05,171.0,,,24.06,27.7,25.0,,34.08,37.65,,,,,13.72,,3.9,16.0,,,,,,,25.0,105.0,0.5,0.5,0.63,0.74,5.0,5215.0,26.0,589.0,1865.0,0.5,7.0,2.0,2.5,0.25,9036.0,3.67,1.08,5.0,5641.0,26.0,607.0,2140.0,16.0,7.5,3.0,2.5,0.25,30508.0,,,0.0025,,,,976000.0,0.0,,818.18,4772.73,,12500.0,19363.64,138.18,,15.45,,22.73,2024,,45.45,,,,,,,,,,,Potosi,6,June,Winter (Dry),Oxic
Viña Quemada,BVQ-122,2024-06-22,11:30,June 2024,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 2,"19° 24' 27.59""","64° 51' 47.99""",-19.4077,-64.8633,0.512,11.0,653.0,130.7,8.7,-95.4,1224.5,0.6,13.7,9.05,111.1,68.6,816.0,730.0,83.0,,298.9,22.2,163.17,179.4,170.0,,,63.15,29.46,25.0,,66.7,32.2,,,,,7.08,,15.6,39.0,,,,,,,864.0,933.0,0.5,0.5,132.6,6.9,5.0,25.0,0.5,5.0,25.0,9.0,0.25,0.5,2.5,0.25,50.0,142.04,7.92,5.0,137.0,0.5,5.0,138.0,16.0,0.8,2.0,2.5,0.25,1570.0,,,0.0025,,,,18915.66,,,,831.33,,1662.65,1650.6,113.73,,12.29,,9.64,2024,,24.1,,,,,,,,,,,Potosi,6,June,Winter (Dry),Oxic
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,BTC-116,2024-06-20,15:40,June 2024,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tacobamba,,"19° 11' 23.74""","65° 32' 56.64""",-19.1899,-65.5491,0.732,0.0,1636.0,149.7,8.25,-71.7,420.0,0.1,15.5,6.94,99.6,95.2,374.0,299.0,71.0,,207.9,5.1,99.0,0.05,115.0,,,37.08,25.0,25.0,,42.1,25.87,,,,,3.1,,17.6,41.0,,,,,,,83.0,144.0,0.5,0.5,5.27,2.79,5.0,741.0,3.0,5.0,25.0,0.5,1.1,0.5,2.5,0.25,50.0,7.62,3.01,5.0,822.0,4.0,95.0,345.0,6.0,6.1,7.0,2.5,0.25,7536.0,,,0.0025,,,,106140.85,14.08,,1338.03,859.15,,4859.15,1140.85,33.1,,3.1,,70.42,2024,,98.59,,,,,,,,,,,Potosi,6,June,Winter (Dry),Oxic
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,BPT-118,2024-06-20,12:55,June 2024,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,,"19° 07' 56.06""","65° 34' 20.15""",-19.1322,-65.5723,1.041,6.0,845.0,176.2,8.45,-81.7,898.0,0.4,11.3,7.82,99.8,241.0,726.0,593.0,131.0,,188.1,6.1,128.3,129.2,138.0,,,46.0,17.8,25.0,,46.96,20.34,,,,,11.51,,2.8,13.0,,,,,,,1707.0,1742.0,0.5,0.5,109.1,8.33,5.0,249.0,2.0,5.0,131.0,15.0,0.6,0.5,2.5,0.25,50.0,118.03,9.05,5.0,365.0,6.0,18.0,543.0,39.0,2.5,7.0,2.5,0.25,8327.0,,,0.0025,,,,63564.89,30.53,161.83,137.4,267.18,,3145.04,885.5,68.17,,5.5,,14.5,2024,,53.44,,,,,,,,,,,Potosi,6,June,Winter (Dry),Oxic
La Quiaca,ALQ-040,2024-02-29,15:05,February 2024,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,La Quiaca,Unidad 5,"22° 5' 51,70""","65° 35' 9.46""",-22.0975,-65.586,,,1130.0,67.75,7.87,-56.95,889.5,0.4,27.0,2.61,50.1,73.0,560.0,548.0,9.0,23.0,197.9,0.05,205.0,36.3,102.0,71.81,13.72,29.76,26.24,72.32,13.9,30.61,26.33,5.0,4.7,31.2,0.011,1.8,55.4,38.2,83.0,,,,,,,135.0,140.0,5.0,5.0,18.0,0.5,0.25,25.0,25.0,5.0,5.0,1217.0,50.0,2.5,0.25,2.0,0.5,18.0,0.5,0.25,25.0,25.0,5.0,5.0,1337.0,1386.0,2.5,0.5,3.0,0.5,,0.001,0.0025,0.05,,,,,145640.0,,555.56,111.11,,,0.0,55.56,,,154000.0,2024,,,,,,290.0,190.0,58000.0,21.2,,,,Potosi,2,February,Summer (Wet),Hypoxic
Chuquiago,BCH-060,2024-02-28,15:30,February 2024,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,San Juan del Oro,Unidad 5,"21° 33' 41.01""","65° 38' 51.89""",-21.5614,-65.6478,,,2000.0,141.9,7.98,-62.15,500.0,0.2,20.8,6.13,97.0,1650.0,950.0,390.0,532.0,13.0,218.2,0.05,78.4,25.5,135.0,56.92,23.33,10.73,3.72,59.14,24.28,12.77,6.77,1.2,0.2,1.8,0.006,4.9,3.2,8.4,20.0,,,,,,,25.0,13022.0,5.0,30.0,4.0,0.5,0.25,25.0,25.0,5.0,5.0,2195.0,50.0,2.5,0.25,1.0,0.5,290.0,543.0,0.25,2479.0,25.0,492.0,398.0,2960.0,872284.0,7.0,7.7,478.0,18.0,,0.001,0.0025,0.004,,56.39,33.83,,5556.92,924.81,24477.44,896.62,748.12,4659.77,537.59,14.47,1020.68,,1639631.58,2024,,13.16,,,,180.0,120.0,28000.0,7.7,,,,Potosi,2,February,Summer (Wet),Oxic
La Angostura,BTP-090,2024-02-28,13:40,February 2024,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tupiza,Unidad 5,"21° 28' 9.11""","65° 42' 53.17""",-21.4692,-65.7148,,,1802.0,144.0,7.928,-59.5,555.0,0.2,22.1,6.09,99.6,1650.0,753.0,378.0,370.0,5.0,219.3,0.05,62.3,19.6,185.0,60.8,23.92,6.29,4.23,66.82,25.78,7.57,7.74,0.1,0.1,1.0,0.01,5.3,1.8,7.8,21.0,,,,,,,25.0,17114.0,5.0,5.0,0.5,0.5,0.25,25.0,25.0,5.0,5.0,979.0,50.0,2.5,0.25,2.0,0.5,72.0,416.0,2.8,5041.0,25.0,64.0,159.0,1006.0,141999.0,12.0,20.4,238.0,5.0,,0.001,0.0025,0.002,,,13.51,,2707.49,172.97,46254.05,637.84,429.73,13624.32,194.59,55.14,1124.32,7.57,383781.08,2024,,32.43,,,,230.0,140.0,57000.0,6.5,,,,Potosi,2,February,Summer (Wet),Oxic
Cotagaita,BCO-070,2024-02-28,9:30,February 2024,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Cotagaita,Unidad 4,"20° 49' 15.87""","65° 39' 57.9""",-20.8211,-65.6661,,,1300.0,148.25,6.37,26.35,770.0,0.3,16.2,6.98,97.4,1650.0,1912.0,519.0,1370.0,2.0,368.2,0.05,18.1,17.6,335.0,70.91,46.41,14.04,5.17,82.52,50.3,16.01,7.81,0.7,0.2,2.2,0.025,8.0,3.9,23.5,56.0,,,,,,,819.0,54533.0,5.0,71.0,0.5,0.5,0.25,25.0,25.0,5.0,5.0,976.0,102.0,2.5,0.5,29.0,0.5,1106.0,840.0,1.9,4170.0,25.0,486.0,911.0,1712.0,1643160.0,7.0,15.2,1049.0,29.0,,0.001,0.0025,0.007,,51.82,21.17,,1245.86,354.74,39207.3,744.53,664.96,3043.8,807.3,10.73,613.14,1.39,1199316.06,2024,,5.11,,,,360.0,270.0,110000.0,13.5,,,,Potosi,2,February,Summer (Wet),Oxic
Tumusla,BTU-080,2024-02-27,16:05,February 2024,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tumusla,Unidad 4,"20° 29' 13.2""","65° 37' 3.73""",-20.487,-65.6177,,,1516.0,151.8,8.44,-71.1,660.0,0.3,22.2,6.3,99.7,1650.0,1130.0,454.0,669.0,4.0,221.3,0.05,87.7,45.3,153.0,66.4,20.92,19.59,5.74,69.12,24.54,23.63,8.13,0.4,0.1,1.4,0.009,3.1,2.5,1.0,4.0,,,,,,,25.0,8839.0,5.0,5.0,3.0,0.5,0.25,25.0,25.0,5.0,5.0,1554.0,50.0,2.5,0.25,2.0,0.5,73.0,154.0,1.6,3729.0,25.0,133.0,153.0,1615.0,156604.0,2.5,7.5,181.0,8.0,,0.001,0.0025,0.001,,,11.96,,2405.47,198.8,13212.26,267.56,228.7,5573.99,104.63,11.21,230.19,2.39,234086.7,2024,,,,,,400.0,200.0,58000.0,1.0,,,,Potosi,2,February,Summer (Wet),Oxic
Yocalla,BYO-025,2024-02-27,10:10,February 2024,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 1,"19° 23' 45.62""","65° 54' 24.14""",-19.396,-65.9067,,,1854.0,140.9,8.05,-65.0,540.0,0.2,14.8,6.84,101.1,1650.0,410.0,372.0,35.0,22.0,174.8,0.05,60.3,69.5,73.0,46.7,6.83,43.07,4.67,49.92,6.94,43.22,5.04,0.4,0.03,1.8,0.009,3.1,3.2,8.7,23.0,,,,,,,25.0,5583.0,5.0,5.0,10.0,0.5,0.25,25.0,25.0,5.0,5.0,760.0,50.0,2.5,0.25,0.5,0.5,105.0,138.0,0.25,776.0,25.0,420.0,205.0,1283.0,352250.0,2.5,1.3,284.0,13.0,,0.001,0.0025,0.002,,,371.43,,36523.71,12000.0,159514.29,8114.29,5857.14,22171.43,2714.29,37.14,3942.86,,10064285.71,2024,,,,,,370.0,300.0,,7.9,47000.0,,,Potosi,2,February,Summer (Wet),Oxic
Colavi - Canutillos,BC7-113,2024-02-25,14:35,February 2024,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,"19° 19' 16.72""","65° 33' 6.78""",-19.3213,-65.5519,,,2070.0,139.0,3.37,185.95,483.5,0.2,12.2,7.12,102.3,116.7,350.0,319.0,30.0,0.5,162.9,0.05,0.05,4.9,190.0,42.13,20.62,1.19,1.16,44.12,20.8,1.57,1.73,0.1,0.1,0.05,0.025,31.0,0.05,1.0,1.0,,,,,,,5104.0,5927.0,5.0,5.0,0.5,1.0,0.25,1552.0,25.0,5.0,665.0,59.0,14695.0,2.5,5.1,28.0,0.5,59.0,6.0,0.25,1687.0,25.0,5.0,754.0,107.0,32502.0,2.5,5.8,29.0,0.5,,0.001,0.0025,0.01,,,,,3528.0,,27433.33,33.33,2966.67,4500.0,1966.67,23.33,166.67,,593566.67,2024,,,,,,0.5,0.5,50000.0,1.0,,,,Potosi,2,February,Summer (Wet),Oxic
Tarapaya,BTA-050,2024-02-22,13:45,February 2024,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,"19° 28' 18.50""","65° 47' 39.68""",-19.4718,-65.7944,1.632,5.0,1384.5,129.4,7.165,-17.2,722.0,0.3,21.2,5.55,94.3,802.2,960.0,425.0,530.0,14.0,245.0,0.05,60.4,31.3,173.0,59.8,29.03,1.2,5.782,68.6,31.11,2.26,8.77,0.2,0.1,10.2,0.065,5.8,18.1,11.6,29.0,,,,,,,2371.0,2445.0,5.0,5.0,20.0,0.5,0.25,9329.0,25.0,5.0,13.0,284.0,50.0,2.5,21.5,18.0,0.5,73.0,42.0,0.25,10613.0,25.0,5.0,90.0,298.0,13103.0,2.5,22.2,18.0,0.5,,0.065,0.0025,0.001,,,,,551.36,,139.62,0.0,145.28,2422.64,100.0,1.32,79.25,,24722.64,2024,,,,,,66.0,33.0,14000.0,7.4,,,,Potosi,2,February,Summer (Wet),Oxic
San Antonio - Potosí,BSA-030,2024-02-22,10:15,February 2024,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Aljamayu,Unidad 1,"19° 34' 41.41""","65° 48' 12.20""",-19.5782,-65.8034,1.405,1.0,726.0,132.1,5.95,49.0,1380.0,0.65,18.1,6.01,98.2,824.0,1300.0,729.0,565.0,24.0,432.3,0.05,114.6,65.8,295.0,120.6,30.82,45.46,19.76,125.71,32.3,46.48,20.61,2.5,0.1,35.5,0.12,18.1,63.1,46.6,106.0,,,,,,,7555.0,8694.0,5.0,5.0,46.0,0.5,0.25,98025.0,25.0,5.0,112.0,432.0,36537.0,2.5,234.4,73.0,5.0,755.0,687.0,0.25,172374.0,25.0,22.0,924.0,529.0,107845.0,15.0,246.2,81.0,7.0,,0.056,0.0025,0.001,,,3.54,,901.31,38.94,2015.93,14.16,1437.17,131591.15,1254.87,20.88,1215.93,,126208.85,2024,,26.55,,,,160.0,78.0,12000.0,31.3,,,,Potosi,2,February,Summer (Wet),Oxic
Potosí - Naciente río La Ribera,BNR-010,2024-02-22,8:35,February 2024,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,De la Ribera,Unidad 1,"19° 35' 51.48""","65° 43' 52.73""",-19.5976,-65.7313,0.3,0.0,3720.0,123.1,7.8,-50.6,269.0,0.0,9.5,6.7,98.1,3.47,230.0,174.0,55.0,17.0,111.1,0.05,83.6,16.3,12.0,25.3,4.43,10.62,2.706,26.8,4.52,10.71,2.77,0.1,0.03,2.2,0.005,3.1,3.8,1.0,1.0,,,,,,,416.0,435.0,5.0,5.0,4.0,0.5,0.25,25.0,25.0,5.0,5.0,238.0,408.0,2.5,0.25,0.5,0.5,7.0,1.0,0.25,25.0,25.0,5.0,5.0,245.0,771.0,2.5,0.25,0.5,0.5,,0.001,0.0025,0.01,,,,,4405.27,,345.45,,,,54.55,,18.18,,6600.0,2024,,,,,,12.0,10.0,2400.0,1.0,,,,Potosi,2,February,Summer (Wet),Oxic
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,BTC-116,2024-02-21,15:20,February 2024,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tacobamba,,"19° 12' 28.9""","65° 33' 12.2""",-19.208,-65.5534,2.908,56.0,3090.0,144.9,8.38,-83.7,324.0,0.1,20.3,6.34,101.0,1650.0,1445.0,255.0,1176.0,2.0,145.4,0.05,58.3,19.9,90.0,31.32,18.41,13.66,4.35,45.21,19.4,18.24,12.2,8.3,1.1,1.8,0.012,31.0,3.2,1.0,4.0,,,,,,,111.0,1161.0,5.0,5.0,0.5,0.5,0.25,25.0,25.0,5.0,5.0,79.0,50.0,2.5,0.25,0.5,0.5,25.0,40.0,0.25,190.0,25.0,53.0,61.0,86.0,126455.0,2.5,0.25,59.0,1.0,,0.001,0.0025,,,,0.85,,69.43,45.07,892.86,50.17,51.87,161.56,21.26,,34.01,,107529.76,2024,,,,,,190.0,150.0,24000.0,1.0,,,,Potosi,2,February,Summer (Wet),Oxic
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,BPT-118,2024-02-21,11:05,February 2024,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,,"19° 7' 56.3""","65° 34' 20.12""",-19.1323,-65.5723,,,1981.0,151.9,8.3,-79.2,505.0,0.2,18.1,6.89,102.5,1650.0,958.0,372.0,579.0,8.0,141.4,0.05,80.4,48.9,72.0,53.5,14.03,18.71,6.35,60.31,15.62,20.46,9.52,4.2,0.9,2.2,0.014,26.6,3.9,8.2,21.0,,,,,,,25.0,13460.0,5.0,5.0,3.0,0.5,0.25,25.0,25.0,5.0,5.0,549.0,50.0,2.5,0.25,0.5,0.5,159.0,143.0,0.25,1111.0,25.0,170.0,176.0,652.0,443104.0,2.5,1.7,209.0,9.0,,0.001,0.0025,0.001,,,15.54,,1115.11,293.61,23246.98,360.97,303.97,1918.83,269.43,2.94,246.98,,765291.88,2024,,,,,,500.0,300.0,12000.0,6.5,,,,Potosi,2,February,Summer (Wet),Oxic
