Station,Campaign,Metal,Sediment_Conc_mg_per_kg,Water_Conc_ug_per_L,Water_Conc_mg_per_L,Partitioning_Ratio_L_per_kg,pH,Clay_%,Sand_%,Organic_Matter_%,Location
Villamontes,August 2016,Lead,5.74,1.5,0.0015,3826.6666666666665,8.8,2.0,95.07,0.25,Bolivia (Non-Mining)
Villamontes,August 2016,Zinc,22.2,31.0,0.031,716.1290322580645,8.8,2.0,95.07,0.25,Bolivia (Non-Mining)
Villamontes,August 2016,Arsenic,8.3,4.0,0.004,2075.0,8.4,1.0,96.96,0.27,Bolivia (Non-Mining)
Villamontes,August 2016,Cadmium,0.05,0.5,0.0005,100.0,8.4,1.0,96.96,0.27,Bolivia (Non-Mining)
Villamontes,August 2016,Lead,24.8,1.5,0.0015,16533.333333333332,8.4,1.0,96.96,0.27,Bolivia (Non-Mining)
Villamontes,August 2016,Zinc,89.0,31.0,0.031,2870.967741935484,8.4,1.0,96.96,0.27,Bolivia (Non-Mining)
Villamontes,August 2016,Arsenic,7.4,4.0,0.004,1850.0,8.4,1.0,96.96,0.27,Bolivia (Non-Mining)
Villamontes,August 2016,Cadmium,0.01,0.5,0.0005,20.0,8.4,1.0,96.96,0.27,Bolivia (Non-Mining)
Villamontes,August 2016,Lead,15.8,1.5,0.0015,10533.333333333334,8.4,1.0,96.96,0.27,Bolivia (Non-Mining)
Villamontes,August 2016,Zinc,55.8,31.0,0.031,1800.0,8.4,1.0,96.96,0.27,Bolivia (Non-Mining)
Villamontes,August 2016,Arsenic,3.8,4.0,0.004,949.9999999999999,8.4,1.0,96.96,0.27,Bolivia (Non-Mining)
Villamontes,August 2016,Cadmium,0.02,0.5,0.0005,40.0,8.4,1.0,96.96,0.27,Bolivia (Non-Mining)
Villamontes,August 2016,Lead,8.59,1.5,0.0015,5726.666666666666,8.4,1.0,96.96,0.27,Bolivia (Non-Mining)
Villamontes,August 2016,Zinc,34.3,31.0,0.031,1106.4516129032256,8.4,1.0,96.96,0.27,Bolivia (Non-Mining)
Villamontes,December 2017,Arsenic,5.1,74.0,0.074,68.91891891891892,8.2,1.0,87.93,0.65,Bolivia (Non-Mining)
Villamontes,December 2017,Cadmium,0.03,1.0,0.001,30.0,8.2,1.0,87.93,0.65,Bolivia (Non-Mining)
Villamontes,December 2017,Lead,11.4,176.0,0.176,64.77272727272728,8.2,1.0,87.93,0.65,Bolivia (Non-Mining)
Villamontes,December 2017,Zinc,41.5,499.0,0.499,83.16633266533066,8.2,1.0,87.93,0.65,Bolivia (Non-Mining)
Villamontes,December 2017,Arsenic,5.2,74.0,0.074,70.27027027027027,8.4,1.0,91.93,0.6,Bolivia (Non-Mining)
Villamontes,December 2017,Cadmium,0.06,1.0,0.001,60.0,8.4,1.0,91.93,0.6,Bolivia (Non-Mining)
Villamontes,December 2017,Lead,10.5,176.0,0.176,59.659090909090914,8.4,1.0,91.93,0.6,Bolivia (Non-Mining)
Villamontes,December 2017,Zinc,37.8,499.0,0.499,75.75150300601202,8.4,1.0,91.93,0.6,Bolivia (Non-Mining)
Villamontes,December 2017,Arsenic,4.4,74.0,0.074,59.45945945945947,8.4,1.0,91.93,0.6,Bolivia (Non-Mining)
