Station,Campaign,Date,Metal,Sediment_Conc_mg_per_kg,Water_Conc_ug_per_L,Water_Conc_mg_per_L,Partitioning_Ratio_L_per_kg,Log_Partitioning_Ratio,pH,Clay_%,Organic_Matter_%,DO_mg_per_L,Fe_%,Mn_mg_per_kg,Al_%,S_%,Ca_%,P_%,Location
San Josecito,May 2019,2019-05-15,Arsenic,14.6,10.0,0.01,1460.0,3.164352855784437,8.2,4.0,0.98,8.98,4.7,424.0,1.73,0.5,0.64,0.093,Bolivia (Non-Mining)
San Josecito,May 2019,2019-05-15,Cadmium,0.16,10.0,0.01,16.0,1.2041199826559248,8.2,4.0,0.98,8.98,4.7,424.0,1.73,0.5,0.64,0.093,Bolivia (Non-Mining)
San Josecito,May 2019,2019-05-15,Lead,28.7,10.0,0.01,2870.0,3.4578818967339924,8.2,4.0,0.98,8.98,4.7,424.0,1.73,0.5,0.64,0.093,Bolivia (Non-Mining)
San Josecito,May 2019,2019-05-15,Zinc,115.0,28.0,0.028,4107.142857142857,3.6135398090113924,8.2,4.0,0.98,8.98,4.7,424.0,1.73,0.5,0.64,0.093,Bolivia (Non-Mining)
San Josecito,May 2019,2019-05-15,Arsenic,11.5,10.0,0.01,1150.0,3.060697840353612,8.2,4.0,0.98,8.98,2.1,224.0,1.18,0.5,0.39,0.05,Bolivia (Non-Mining)
San Josecito,May 2019,2019-05-15,Cadmium,0.13,10.0,0.01,13.0,1.1139433523068367,8.2,4.0,0.98,8.98,2.1,224.0,1.18,0.5,0.39,0.05,Bolivia (Non-Mining)
San Josecito,May 2019,2019-05-15,Lead,14.5,10.0,0.01,1450.0,3.161368002234975,8.2,4.0,0.98,8.98,2.1,224.0,1.18,0.5,0.39,0.05,Bolivia (Non-Mining)
San Josecito,May 2019,2019-05-15,Zinc,66.1,28.0,0.028,2360.7142857142853,3.3730434281434207,8.2,4.0,0.98,8.98,2.1,224.0,1.18,0.5,0.39,0.05,Bolivia (Non-Mining)
San Josecito,May 2019,2019-05-15,Arsenic,11.0,10.0,0.01,1100.0,3.041392685158225,8.2,4.0,0.98,8.98,2.0,214.0,1.15,0.5,0.38,0.048,Bolivia (Non-Mining)
San Josecito,May 2019,2019-05-15,Cadmium,0.13,10.0,0.01,13.0,1.1139433523068367,8.2,4.0,0.98,8.98,2.0,214.0,1.15,0.5,0.38,0.048,Bolivia (Non-Mining)
San Josecito,May 2019,2019-05-15,Lead,13.6,10.0,0.01,1360.0,3.1335389083702174,8.2,4.0,0.98,8.98,2.0,214.0,1.15,0.5,0.38,0.048,Bolivia (Non-Mining)
San Josecito,May 2019,2019-05-15,Zinc,61.6,28.0,0.028,2200.0,3.342422680822206,8.2,4.0,0.98,8.98,2.0,214.0,1.15,0.5,0.38,0.048,Bolivia (Non-Mining)
